benchmark,thumb_size,method,rows,correct,accuracy,avg_text_tokens,avg_image_tokens,avg_total_tokens,avg_processor_time_sec,avg_generate_time_sec,avg_total_time_sec,avg_peak_allocated_mb,max_peak_allocated_mb,avg_peak_reserved_mb,max_peak_reserved_mb,avg_original_width,avg_original_height,avg_resized_width,avg_resized_height,accuracy_percent,vlm_single_accuracy,vlm_single_accuracy_percent,vlm_single_rows,vlm_single_correct
hrbench_4k,600,THUMB_AREA_VLM_600,800,435,0.54375,64.855,1334.64,1399.495,0.012695042317509952,0.14343498221872888,0.34516477380497806,8582.434086914063,8594.10205078125,8641.79,8670.0,4023.935,3502.94,660.66,547.4,54.37499999999999,0.75,75.0,800,600
hrbench_4k,480,THUMB_AREA_VLM_480,800,430,0.5375,64.855,894.2,959.055,0.010683575452510419,0.13921542664630518,0.3303753954886372,8552.12525390625,8563.970703125,8592.75,8620.0,4023.935,3502.94,533.54,440.3,53.75,0.75,75.0,800,600
hrbench_4k,420,THUMB_AREA_VLM_420,800,420,0.525,64.855,679.9,744.755,0.009787846669961435,0.13809888816738178,0.32611637158877327,8535.851833496094,8546.10888671875,8567.58,8578.0,4023.935,3502.94,468.3,388.08,52.5,0.75,75.0,800,600
hrbench_4k,360,THUMB_AREA_VLM_360,800,392,0.49,64.855,492.36,557.215,0.008982104808729283,0.13711350999501346,0.32065039734750317,8522.279155273438,8532.466796875,8545.1,8552.0,4023.935,3502.94,404.04,334.88,49.0,0.75,75.0,800,600
mme_rw_lite,2160,THUMB_AREA_VLM_2160,1919,947,0.4934861907243356,99.39656070870245,18305.336112558623,18404.73267326733,0.11746547683119463,0.7009854301563604,1.008967428331397,9742.202408735426,9785.22998046875,9966.824387701929,10142.0,2835.778009379885,1565.6018759770714,2955.6122980719124,1691.920792079208,49.34861907243356,0.488275143,48.827514300000004,1919,937
mme_rw_lite,1980,THUMB_AREA_VLM_1980,1919,955,0.49765502866076083,99.39656070870245,15242.463783220428,15341.86034392913,0.09194901848250771,0.5286324079603504,0.7934324102073999,9533.803710174163,9572.017578125,9805.988535695675,9900.0,2835.778009379885,1565.6018759770714,2710.5429911412193,1547.7186034392912,49.76550286607608,0.488275143,48.827514300000004,1919,937
mme_rw_lite,1800,THUMB_AREA_VLM_1800,1919,944,0.4919228764981761,99.39656070870245,12608.539864512768,12707.93642522147,0.06637506780772257,0.4329339729645825,0.6559735632235517,9355.343811066961,9391.947265625,9548.402292860865,9664.0,2835.778009379885,1565.6018759770714,2464.758728504429,1406.726420010422,49.192287649817615,0.488275143,48.827514300000004,1919,937
mme_rw_lite,1600,THUMB_AREA_VLM_1600,1919,937,0.48827514330380406,99.39656070870245,10057.62167795727,10157.018238665973,0.052216652446018155,0.34375286575511366,0.5346140605649278,9181.152099736597,9199.3857421875,9376.662845231891,9396.0,2835.778009379885,1565.6018759770714,2186.932777488275,1256.775403856175,48.8275143303804,0.488275143,48.827514300000004,1919,937
mme_rw_lite,1440,THUMB_AREA_VLM_1440,1919,910,0.47420531526836895,99.39656070870245,8093.348619072433,8192.745179781135,0.04130623572068376,0.286946567657648,0.45342050009532586,9048.365974557468,9077.98779296875,9193.93642522147,9266.0,2835.778009379885,1565.6018759770714,1972.3877019280876,1131.0891089108911,47.420531526836896,0.488275143,48.827514300000004,1919,937
mme_rw_lite,1280,THUMB_AREA_VLM_1280,1919,890,0.4637832204273059,99.39656070870245,6376.692027097447,6476.088587806149,0.03347705980769278,0.2365460975929873,0.38475352879939767,8933.107159287063,8964.64453125,9061.513288170923,9118.0,2835.778009379885,1565.6018759770714,1752.9546638874415,1002.4116727462219,46.37832204273059,0.488275143,48.827514300000004,1919,937
mme_rw_lite,1080,THUMB_AREA_VLM_1080,1919,868,0.45231891610213654,99.39656070870245,4560.19801980198,4659.594580510683,0.026611397302720788,0.18696008059406427,0.31798768019960755,8812.270631727544,8841.38623046875,8892.188639916623,8948.0,2835.778009379885,1565.6018759770714,1475.0557582073998,845.9531005732152,45.23189161021365,0.488275143,48.827514300000004,1919,937
mme_rw_lite,960,THUMB_AREA_VLM_960,1919,842,0.43877019280875457,99.39656070870245,3643.5622720166753,3742.9588327253778,0.021991295008312473,0.16605193036011984,0.28715215432200597,8764.129144920043,8773.52490234375,8832.761855132881,8872.0,2835.778009379885,1565.6018759770714,1318.0719124544034,757.4445023449713,43.87701928087546,0.488275143,48.827514300000004,1919,937
mme_rw_lite,840,THUMB_AREA_VLM_840,1919,816,0.4252214695153726,99.39656070870245,2747.412193850964,2846.8087545596663,0.018515493505455848,0.14673600874984763,0.25855026908595635,8701.50027887246,8731.15380859375,8751.390307451798,8772.0,2835.778009379885,1565.6018759770714,1153.194372068786,653.7759249609171,42.52214695153726,0.488275143,48.827514300000004,1919,937
mme_rw_lite,720,THUMB_AREA_VLM_720,1919,774,0.4033350703491402,99.39656070870245,2007.383011985409,2106.7795726941117,0.015595349947887312,0.13921760906145156,0.24383910276242238,8649.907361927599,8677.572265625,8681.501823866598,8718.0,2835.778009379885,1565.6018759770714,983.5747785304847,561.0359562272017,40.33350703491402,0.488275143,48.827514300000004,1919,937
mme_rw_lite,600,THUMB_AREA_VLM_600,1919,729,0.3798853569567483,99.39656070870245,1437.3652944241792,1536.7618551328817,0.013188353589377347,0.14441088150127823,0.24029693259509374,8595.4457626144,8628.802734375,8666.650338718082,8674.0,2835.778009379885,1565.6018759770714,825.3944762897343,473.1839499739448,37.98853569567483,0.488275143,48.827514300000004,1919,937
mme_rw_lite,480,THUMB_AREA_VLM_480,1919,655,0.341323606044815,99.39656070870245,900.4481500781657,999.8447107868682,0.010877194897823794,0.14050374435227242,0.22917054572485904,8559.959508024198,8585.42529296875,8597.171443460136,8622.0,2835.778009379885,1565.6018759770714,661.2610734757686,378.03647733194373,34.1323606044815,0.488275143,48.827514300000004,1919,937
mme_rw_lite,420,THUMB_AREA_VLM_420,1919,622,0.32412714955706096,99.39656070870245,687.5018238665972,786.8983845752996,0.0099496006190633,0.13959669013755194,0.22526779715788575,8544.085600613926,8567.1826171875,8575.664408546118,8616.0,2835.778009379885,1565.6018759770714,572.2855653986451,327.0411672746222,32.41271495570609,0.488275143,48.827514300000004,1919,937
mme_rw_lite,360,THUMB_AREA_VLM_360,1919,570,0.297029702970297,99.39656070870245,515.430953621678,614.8275143303804,0.009177890418932324,0.13830697521104157,0.22133371041115965,8531.593184367264,8557.53564453125,8548.912975508078,8602.0,2835.778009379885,1565.6018759770714,492.1521625846795,283.67691505992707,29.7029702970297,0.488275143,48.827514300000004,1919,937
treebench,2160,THUMB_AREA_VLM_2160,405,184,0.454320987654321,89.25925925925925,18150.656790123456,18239.916049382715,0.14370926689385824,0.6955836641579862,0.9986430844048839,9729.824884259258,9764.3984375,9981.17037037037,10132.0,2152.316049382716,1614.7209876543209,2511.7728395061727,1899.3679012345679,45.4320987654321,0.451851852,45.1851852,405,183
treebench,1980,THUMB_AREA_VLM_1980,405,179,0.4419753086419753,89.25925925925925,15425.086419753086,15514.345679012345,0.10998565144700026,0.5403198911901974,0.7946784949087049,9544.076510657793,9566.95068359375,9784.553086419754,9892.0,2152.316049382716,1614.7209876543209,2313.9061728395063,1745.7481481481482,44.19753086419753,0.451851852,45.1851852,405,183
treebench,1800,THUMB_AREA_VLM_1800,405,183,0.45185185185185184,89.25925925925925,12691.595061728394,12780.854320987655,0.09259540228148813,0.436410104135838,0.6525393103333146,9358.214424189815,9386.20556640625,9554.301234567902,9664.0,2152.316049382716,1614.7209876543209,2100.0,1577.8864197530863,45.18518518518518,0.451851852,45.1851852,405,183
treebench,1600,THUMB_AREA_VLM_1600,405,179,0.4419753086419753,89.25925925925925,10014.479012345679,10103.738271604938,0.06667951381981492,0.34423960718528784,0.5212305653926514,9176.144249131945,9206.2646484375,9349.333333333334,9436.0,2152.316049382716,1614.7209876543209,1865.1456790123457,1412.5827160493827,44.19753086419753,0.451851852,45.1851852,405,183
