benchmark,method,rows,correct,accuracy,avg_preprocess_time_sec,min_preprocess_time_sec,max_preprocess_time_sec,avg_processor_time_sec,min_processor_time_sec,max_processor_time_sec,avg_prefill_time_sec,min_prefill_time_sec,max_prefill_time_sec,avg_decode_time_sec,min_decode_time_sec,max_decode_time_sec,avg_output_time_sec,min_output_time_sec,max_output_time_sec,avg_input_time_with_preprocess_sec,min_input_time_with_preprocess_sec,max_input_time_with_preprocess_sec,avg_total_time_sec,min_total_time_sec,max_total_time_sec,avg_text_tokens,min_text_tokens,max_text_tokens,avg_image_tokens,min_image_tokens,max_image_tokens,avg_total_tokens,min_total_tokens,max_total_tokens,avg_prefill_tokens_per_sec,min_prefill_tokens_per_sec,max_prefill_tokens_per_sec,avg_decode_tokens_per_sec,min_decode_tokens_per_sec,max_decode_tokens_per_sec,avg_prefill_mem_peak_allocated_mb,min_prefill_mem_peak_allocated_mb,max_prefill_mem_peak_allocated_mb,avg_decode_mem_peak_allocated_mb,min_decode_mem_peak_allocated_mb,max_decode_mem_peak_allocated_mb,avg_overall_peak_allocated_mb,min_overall_peak_allocated_mb,max_overall_peak_allocated_mb,avg_num_objects,min_num_objects,max_num_objects,accuracy_percent
hrbench_4k,Smol_YOLO_Qwen_4B_smol800,10,8,0.8,18.559556800004792,18.07595830000355,19.006249699974433,0.020179180000559425,0.013804499991238117,0.029064100002869964,0.020179180000559425,0.013804499991238117,0.029064100002869964,0.76983691000205,0.6606825000199024,0.9153743000060786,0.76983691000205,0.6606825000199024,0.9153743000060786,18.579735980005353,18.098689300008118,19.024122599978,19.3495728900074,18.88447720001568,19.688229899969883,477.0,446.0,500.0,238.8,188.0,276.0,715.8,634.0,776.0,36475.09699554021,26699.605352423543,45927.05280179706,2.6287812844306786,2.184898570985354,3.0271726584853575,3336.4583984375,3281.5009765625,3378.14794921875,3336.4583984375,3281.5009765625,3378.14794921875,3336.4583984375,3281.5009765625,3378.14794921875,2.6,2.0,3.0,80.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol800,10,10,1.0,18.559556800004792,18.07595830000355,19.006249699974433,0.04285754000011366,0.026189399999566376,0.11041729999124072,0.04285754000011366,0.026189399999566376,0.11041729999124072,0.8673293199943146,0.7472152999835089,0.9564716999884695,0.8673293199943146,0.7472152999835089,0.9564716999884695,18.602414340004906,18.110110999987228,19.056880799966166,19.46974365999922,19.030963600001996,20.013352499954635,500.0,469.0,523.0,498.8,448.0,536.0,998.8,917.0,1059.0,27531.037055315624,9590.888385099157,39249.842477809325,2.3273217295688107,2.0910184797146747,2.6766047216165676,3544.53076171875,3486.525390625,3587.74853515625,3544.53076171875,3486.525390625,3587.74853515625,3544.53076171875,3486.525390625,3587.74853515625,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol960,10,9,0.9,18.74404162999708,18.120431699964684,19.400157100026263,0.021332079998683185,0.016998100007185712,0.028434500010916963,0.021332079998683185,0.016998100007185712,0.028434500010916963,0.7448063399991952,0.631037599989213,0.8831252999952994,0.7448063399991952,0.631037599989213,0.8831252999952994,18.765373709995764,18.13894709997112,19.427654900035122,19.51018004999496,18.880438899970613,20.25038580002729,477.4,445.0,502.0,238.8,188.0,276.0,716.2,633.0,778.0,34447.26172960642,27361.12819642686,40992.90319065088,2.719054234710046,2.264684297925385,3.1693832507511246,3336.83427734375,3279.22412109375,3380.86328125,3336.83427734375,3279.22412109375,3380.86328125,3336.83427734375,3279.22412109375,3380.86328125,2.6,2.0,3.0,90.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol960,10,10,1.0,18.74404162999708,18.120431699964684,19.400157100026263,0.04626428000046871,0.015699499985203147,0.06441439999616705,0.04626428000046871,0.015699499985203147,0.06441439999616705,0.8374992899975041,0.707989099988481,0.93448769999668,0.8374992899975041,0.707989099988481,0.93448769999668,18.79030590999755,18.136131199949887,19.43603420004365,19.627805199995056,19.0282515999279,20.32631970004877,500.4,468.0,525.0,498.8,448.0,536.0,999.2,916.0,1061.0,25278.549395754137,16471.472218372513,66371.54055747572,2.4133642772053507,2.140210085169773,2.824902247834804,3545.36103515625,3485.96533203125,3590.38427734375,3545.36103515625,3485.96533203125,3590.38427734375,3545.36103515625,3485.96533203125,3590.38427734375,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol1080,10,7,0.7,18.504056629992554,17.699411399982637,20.382254099997226,0.020852949999971317,0.014079299988225102,0.026147700002184138,0.020852949999971317,0.014079299988225102,0.026147700002184138,0.7493320900015533,0.6443049000226893,0.8685927000187803,0.7493320900015533,0.6443049000226893,0.8685927000187803,18.524909579992528,17.713490699970862,20.401472900004592,19.27424166999408,18.35779559999355,21.09403979999479,479.2,446.0,507.0,238.8,188.0,276.0,718.0,634.0,783.0,35461.01031683226,29945.272430638084,45030.64786816328,2.699479008457554,2.3025751885282446,3.104120424863399,3338.7109375,3281.5009765625,3386.15869140625,3338.7109375,3281.5009765625,3386.15869140625,3338.7109375,3281.5009765625,3386.15869140625,2.6,2.0,3.0,70.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol1080,10,8,0.8,18.504056629992554,17.699411399982637,20.382254099997226,0.047358320001512764,0.026782000000821427,0.05794559998321347,0.047358320001512764,0.026782000000821427,0.05794559998321347,0.8758327099989401,0.7598169000120834,0.9912987999850884,0.8758327099989401,0.7598169000120834,0.9912987999850884,18.55141494999407,17.72717699999339,20.409036099998048,19.427247659993007,18.495496599993203,21.16885300001013,502.2,469.0,530.0,498.8,448.0,536.0,1001.0,917.0,1066.0,22477.376816995125,17853.45757317898,34239.41453109831,2.3103609203734243,2.017555150909176,2.632213102878067,3546.18232421875,3486.525390625,3593.05712890625,3546.18232421875,3486.525390625,3593.05712890625,3546.18232421875,3486.525390625,3593.05712890625,2.6,2.0,3.0,80.0
hrbench_4k,Smol_YOLO_Qwen_4B_smol1280,10,10,1.0,18.670449899992672,18.311273999977857,18.98645959998248,0.020258289997582325,0.014255699992645532,0.02690900000743568,0.020258289997582325,0.014255699992645532,0.02690900000743568,0.7465698800020618,0.6508207000151742,0.8514931999961846,0.7465698800020618,0.6508207000151742,0.8514931999961846,18.690708189990254,18.33663169995998,19.010275599983288,19.437278069992317,19.10171109996736,19.861768799979473,480.0,448.0,507.0,238.8,188.0,276.0,718.8,636.0,783.0,36536.71128638543,29098.07126922725,44613.733477002905,2.7024668885003953,2.348814999355205,3.0730430054750393,3339.54921875,3283.5966796875,3386.15869140625,3339.54921875,3283.5966796875,3386.15869140625,3339.54921875,3283.5966796875,3386.15869140625,2.6,2.0,3.0,100.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_smol1280,10,10,1.0,18.670449899992672,18.311273999977857,18.98645959998248,0.040452060001553033,0.014297199988504872,0.057829400000628084,0.040452060001553033,0.014297199988504872,0.057829400000628084,0.8789021699951263,0.76001230001566,0.9472663000051398,0.8789021699951263,0.76001230001566,0.9472663000051398,18.710901959994224,18.345367799978703,19.043988199991873,19.589804129989353,19.25673139997525,19.980119300016668,503.0,471.0,530.0,498.8,448.0,536.0,1001.8,919.0,1066.0,28613.048006383935,17966.639805855073,64278.32028221522,2.292669849142337,2.111338701682038,2.6315363579757722,3547.38955078125,3489.54345703125,3593.05712890625,3547.38955078125,3489.54345703125,3593.05712890625,3547.38955078125,3489.54345703125,3593.05712890625,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_thumb360,10,10,1.0,18.188507359998766,17.818614099989645,18.72713539999677,0.019586669999989682,0.010171899979468435,0.025758599978871644,0.019586669999989682,0.010171899979468435,0.025758599978871644,0.7734539599972777,0.677916999993613,0.9711152999952901,0.7734539599972777,0.677916999993613,0.9711152999952901,18.208094029998755,17.84298809999018,18.74271379999118,18.981547989996034,18.52604309999151,19.448664499999722,480.0,448.0,507.0,238.8,188.0,276.0,718.8,636.0,783.0,38482.019574432525,30397.614802134107,62525.19207657764,2.6160612413248647,2.0594876839132286,2.950213669252789,3336.7716796875,3281.8076171875,3378.59521484375,3336.7716796875,3281.8076171875,3378.59521484375,3336.7716796875,3281.8076171875,3378.59521484375,2.6,2.0,3.0,100.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb360,10,10,1.0,18.188507359998766,17.818614099989645,18.72713539999677,0.03879536000313237,0.026619500014930964,0.04943420001654886,0.03879536000313237,0.026619500014930964,0.04943420001654886,0.7247268399951281,0.6655707999889273,0.7761981999792624,0.7247268399951281,0.6655707999889273,0.7761981999792624,18.227302720001898,17.846547199995257,18.75695199999609,18.952029559997026,18.600011400005314,19.422522799985018,503.0,471.0,530.0,363.8,313.0,401.0,866.8,784.0,931.0,23366.099309539353,18833.115529093895,34974.36088122614,2.7711173586507902,2.5766614764804063,3.0049395196322806,3447.16171875,3385.8798828125,3494.19189453125,3447.16171875,3385.8798828125,3494.19189453125,3447.16171875,3385.8798828125,3494.19189453125,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_thumb480,10,10,1.0,18.226323129993396,17.93090849998407,18.81493260001298,0.020058029997744597,0.013673400011612102,0.025684599997475743,0.020058029997744597,0.013673400011612102,0.025684599997475743,0.7519960400037234,0.7017720000003465,0.8277055000071414,0.7519960400037234,0.7017720000003465,0.8277055000071414,18.24638115999114,17.948755999968853,18.83022279999568,18.998377199994867,18.65125529994839,19.546945700014476,480.0,448.0,507.0,238.8,188.0,276.0,718.8,636.0,783.0,36742.51877638626,30485.19346522634,46513.66883583297,2.669860011035512,2.4163183644215778,2.8499284667940765,3336.69404296875,3281.8076171875,3377.81884765625,3336.69404296875,3281.8076171875,3377.81884765625,3336.69404296875,3281.8076171875,3377.81884765625,2.6,2.0,3.0,100.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb480,10,10,1.0,18.226323129993396,17.93090849998407,18.81493260001298,0.039033219998236744,0.021485400007804856,0.055389199987985194,0.039033219998236744,0.021485400007804856,0.055389199987985194,0.809942830001819,0.6757604000158608,0.9443502000067383,0.809942830001819,0.6757604000158608,0.9443502000067383,18.265356349991634,17.952393899991876,18.85023250002996,19.075299179993454,18.765064200008055,19.564087100035977,503.0,471.0,530.0,467.8,417.0,505.0,970.8,888.0,1035.0,27228.41545041409,18100.506737927637,46915.57986510982,2.504617717299626,2.1178583961603747,2.959628886145234,3523.3361328125,3463.6640625,3565.81201171875,3523.3361328125,3463.6640625,3565.81201171875,3523.3361328125,3463.6640625,3565.81201171875,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_thumb540,10,10,1.0,18.10665453999827,17.8248890999821,18.773076099983882,0.019428049999987707,0.014652300014859065,0.025470799999311566,0.019428049999987707,0.014652300014859065,0.025470799999311566,0.708956890006084,0.5767449000268243,0.8394403000129387,0.708956890006084,0.5767449000268243,0.8394403000129387,18.12608258999826,17.847053399978904,18.789188299997477,18.835039480004344,18.51913919998333,19.441363699996145,480.0,448.0,507.0,238.8,188.0,276.0,718.8,636.0,783.0,37574.49503508496,30741.083908678298,43406.15462111922,2.856277271451957,2.3825398899352024,3.4677376425989728,3336.69404296875,3281.8076171875,3377.81884765625,3336.69404296875,3281.8076171875,3377.81884765625,3336.69404296875,3281.8076171875,3377.81884765625,2.6,2.0,3.0,100.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,10,10,1.0,18.10665453999827,17.8248890999821,18.773076099983882,0.04247579999791924,0.017471400002250448,0.058894399990094826,0.04247579999791924,0.017471400002250448,0.058894399990094826,0.8829205099958927,0.7612107999739237,0.9791005000006407,0.8829205099958927,0.7612107999739237,0.9791005000006407,18.14913033999619,17.8628470999829,18.830587699980242,19.032050849992082,18.810025900020264,19.600989399972605,503.0,471.0,530.0,531.8,481.0,569.0,1034.8,952.0,1099.0,27562.771209302056,16553.182315572045,54489.050670087985,2.2867207414075077,2.0426912252610343,2.6273930954060463,3573.60390625,3512.89501953125,3621.451171875,3573.60390625,3512.89501953125,3621.451171875,3573.60390625,3512.89501953125,3621.451171875,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_thumb640,10,10,1.0,18.1139191599912,17.698273599962704,18.486460699990857,0.020063989993650465,0.014849200000753626,0.026216199999907985,0.020063989993650465,0.014849200000753626,0.026216199999907985,0.7362173799949232,0.6334130999748595,0.8203552000049967,0.7362173799949232,0.6334130999748595,0.8203552000049967,18.13398314998485,17.717731499986257,18.50130989999161,18.870200529979776,18.52836899997783,19.15696389999357,480.0,448.0,507.0,238.8,188.0,276.0,718.8,636.0,783.0,36449.29097588584,29867.028783833972,42830.590197971724,2.7468563282899643,2.4379683337020577,3.1574970585221256,3336.69404296875,3281.8076171875,3377.81884765625,3336.69404296875,3281.8076171875,3377.81884765625,3336.69404296875,3281.8076171875,3377.81884765625,2.6,2.0,3.0,100.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb640,10,10,1.0,18.1139191599912,17.698273599962704,18.486460699990857,0.052702609999687414,0.02097369998227805,0.07304769998881966,0.052702609999687414,0.02097369998227805,0.07304769998881966,1.0144052599964197,0.946582300006412,1.0555723999859765,1.0144052599964197,0.946582300006412,1.0555723999859765,18.16662176999089,17.737542999966536,18.5213725999929,19.18102702998731,18.776631399960024,19.506443799997214,503.0,471.0,530.0,642.8,592.0,680.0,1145.8,1063.0,1210.0,25210.349995760127,15829.759351149205,56403.97264190813,1.974800180298844,1.8947066066018496,2.1128643541997905,3665.25771484375,3591.744140625,3722.078125,3665.25771484375,3591.744140625,3722.078125,3665.25771484375,3591.744140625,3722.078125,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_thumb720,10,10,1.0,18.03178549000295,17.716698099975474,18.47537260001991,0.019840909997583367,0.014045099989743903,0.033842100005131215,0.019840909997583367,0.014045099989743903,0.033842100005131215,0.6965015199937625,0.5749642000009771,0.8501498999830801,0.6965015199937625,0.5749642000009771,0.8501498999830801,18.051626400000533,17.734393399994588,18.49235710001085,18.748127919994296,18.477017399971373,19.067331700003706,480.0,448.0,507.0,238.8,188.0,276.0,718.8,636.0,783.0,37905.41391238455,23136.862070654002,45282.696489482005,2.916892969602868,2.3525263015849376,3.4784774425896448,3336.69404296875,3281.8076171875,3377.81884765625,3336.69404296875,3281.8076171875,3377.81884765625,3336.69404296875,3281.8076171875,3377.81884765625,2.6,2.0,3.0,100.0
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb720,10,10,1.0,18.03178549000295,17.716698099975474,18.47537260001991,0.05172574999160133,0.03847569998470135,0.07619669998530298,0.05172574999160133,0.03847569998470135,0.07619669998530298,1.1143861799995647,1.0370384000125341,1.1795478999847546,1.1143861799995647,1.0370384000125341,1.1795478999847546,18.08351123999455,17.75881199995638,18.514325399999507,19.197897419994113,18.905449699959718,19.553849500021897,503.0,471.0,530.0,771.8,721.0,809.0,1274.8,1192.0,1339.0,26266.58806355021,17572.93951389325,31502.037297352454,1.8003950220431129,1.6955648855174508,1.9285688938575727,3792.58515625,3713.35205078125,3853.94140625,3792.58515625,3713.35205078125,3853.94140625,3792.58515625,3713.35205078125,3853.94140625,2.6,2.0,3.0,100.0
hrbench_4k,Smol_YOLO_Qwen_4B_thumb800,10,10,1.0,18.12831761999405,17.824156199989375,18.68492719999631,0.019382290000794455,0.015734000015072525,0.023899199994048104,0.019382290000794455,0.015734000015072525,0.023899199994048104,0.7121953400026542,0.6361270000052173,0.8258689999929629,0.7121953400026542,0.6361270000052173,0.8258689999929629,18.147699909994845,17.846538299985696,18.700661200011382,18.8598952499975,18.521496299945284,19.40636090002954,480.0,448.0,507.0,238.8,188.0,276.0,718.8,636.0,783.0,37395.89316332517,32762.60294047498,40750.76268162528,2.8223054773123124,2.4216915758032345,3.1440262714577383,3336.69404296875,3281.8076171875,3377.81884765625,3336.69404296875,3281.8076171875,3377.81884765625,3336.69404296875,3281.8076171875,3377.81884765625,2.6,2.0,3.0,100.0
